1;{3CBFFB07-7791-4529-A645-496BA811725B};m;м;metre;метр;Длина
2;{11806A51-7E36-4CFE-94A0-0DA577BE190C};g;г;gram;грамм;Масса
3;{2875BC71-51B9-4D04-A13E-D3FFD18FD5F9};s;с;second;секунда;Время
4;{5BA5643F-87E7-46CA-B967-DF830BDB3BF6};A;А;ampere;ампер;Сила электрического тока
5;{8D13CD71-6D7E-4C54-BC3C-91D2B599AC44};K;К;kelvin;кельвин;Температура
6;{396A7455-E822-4328-BFA2-DA0512D802F6};mol;моль;mole;моль;Количество вещества
7;{282226D0-32B8-47D7-92B0-9EAA30DF8B1C};cd;кд;candela;кандела;Сила света
8;{FB290DA0-E8BA-4269-80A6-928FD767F567};m^2;м^2;square meter;квадратный метр;Площадь
9;{6EA97F04-7E86-4807-8A21-B035754D73AC};m^3;м^3;cubic meter;квадратный метр;Объем
10;{D6A66526-B4AD-427A-B994-F005A71194DF};m/s;м/с;meter per second;метр в секунду;Скорость
11;{AE670202-156B-412D-964B-0F625415643B};m/s^2;м/с^2;meter per second squared;метр на секунду в квадрате;Ускорение
12;{C25A3F07-8F90-4C4E-9755-FE54A0CC2C6A};g/m^3;г/м^3;grams per cubic meter;грамм на кубический метр;Плотность
13;{59F65F9F-6B1C-4E02-9FC1-30C01FFBCDE2};m^3/kg;м^3/кг;cubic meter per kilogram;кубический метр на килограмм;Удельный объем
14;{F63D8356-8F3E-4430-9267-3C7F0A1D6841};A/m^2;А/м^2;amperes per square meter;ампер на квадратный метр;Плотность электрического ток
15;{2F8F3109-1DEC-4592-A55C-653EF1D7E848};A/m;А/м;amperes per meter;ампер на метр;Напряженность магнитного поля
16;{900F5184-9F6A-4ED4-83E3-132120069F78};cd/m^2;кд/м^2;candela per square meter;кандела на квадратный метр;Яркость
17;{B0EE59A6-7BA3-4A92-BCCF-35A13F586BBF};rad;рад;radian;радиан;Плоский угол
18;{5340C698-19F3-4D5B-9D77-AB18D94D80BF};sr;ср;steradian;стерадиан;Телесный угол
19;{FC01CD5C-2E00-436C-BC2E-1F17698EE494};Hz;Гц;hertz;герц;Частота
20;{8D13CD71-6D7E-4C54-BC3C-91D2B599AC44};°C;°C;degree Celsius;градус Цельсия;Температура
21;{53C43633-2D98-4F9A-B2F4-1FD25E712789};N;Н;newton;ньютон;Сила
22;{04C2BB92-9579-4AFC-A391-15FF1AB373DF};J;Дж;joule;джоуль;Энергия
23;{A1A0F2DD-7206-4D5A-87F2-3BA74D6C9EE2};W;Вт;watt;ватт;Мощность
24;{9D26DFBE-C712-425A-A04F-5B5667B27211};Pa;Па;pascal;паскаль;Давление
25;{8592B666-C4AD-4A1C-AF28-9E256390571E};lm;лм;lumen;люмен;Световой поток
26;{6B9FCE29-3A05-4327-822B-102AFAAB913B};lx;лк;lux;люкс;Освещённость
27;{8D4A2209-5439-4423-80CA-8E847687E20D};C;Кл;coulomb;кулон;Электрический заряд
28;{808F7097-873A-4C8A-812A-67F776598E24};V;В;volt;вольт;Разность потенциалов, напряжение
29;{4DC5D137-6BA4-4418-9EE1-B3DA43732709};ohm;Ом;ohm;ом;Сопротивление
30;{FDDEE677-ED02-4513-86A3-2CAC395669DD};F;Ф;farad;фарад;Электроёмкость
31;{4E379756-C3FF-4065-A6E7-D5B1C621CA98};Wb;Вб;weber;вебер;Магнитный поток
32;{0F2934A1-0318-46C7-A1F5-2FF91981DFCE};T;Тл;tesla;тесла;Магнитная индукция
33;{C140E759-0311-42C2-B9DE-7183E5F6172A};H;Гн;henry;генри;Индуктивность
34;{1D09A304-C521-4A6C-A3A6-4082FD9F748A};S;См;siemens;сименс;Электрическая проводимость
35;{40D0B3BB-40BD-44A9-A66D-BFC36A785139};Bq;Бк;becquerel;беккерель;Активность радиоактивного источника
36;{F8A1AB52-D9A5-4377-858F-EA5B2FB41506};Gy;Гр;gray;грей;Поглощённая доза ионизирующего излучения
37;{BABEBAC4-A687-495E-AC2C-F62BCC9151EF};Sv;Зв;sievert;зиверт;Эффективная доза ионизирующего излучения
38;{1E53BBA8-B03B-47C8-ACF6-A090F851851B};kat;кат;katal;катал;Активность катализатора
39;{2875BC71-51B9-4D04-A13E-D3FFD18FD5F9};m;м;minute;минута;Время
40;{2875BC71-51B9-4D04-A13E-D3FFD18FD5F9};h;ч;hour;час;Время
41;{2875BC71-51B9-4D04-A13E-D3FFD18FD5F9};d;д;day;день;Время
42;{B0EE59A6-7BA3-4A92-BCCF-35A13F586BBF};°;°;degree;градус;Плоский угол
45;{6EA97F04-7E86-4807-8A21-B035754D73AC};L;л;litre;литр;Объем
46;{11806A51-7E36-4CFE-94A0-0DA577BE190C};t;т;tonne;тонна;Масса
47;{D1FACF09-B606-4A49-8392-DC502D3999D2};eV;эВ;electron-volt;электрон-вольт;Энергия
48;{D1FACF09-B606-4A49-8392-DC502D3999D2};W*h;Вт*ч;watt-hour;ватт-час;Энергия
49;{6EB4250E-0C9F-4B68-8E95-8E3BEF1F1C8C};V*A;В*А;volt-ampere;вольт-ампер;Полная мощность
50;{3FAA8D6D-908A-4314-8EE7-7B19A8F03FE6};var;вар;var;вар;Реактивная мощность
51;{B5E7AC85-93D0-443E-A081-23A2DA260566};A*h;А*ч;ampere-hour;ампер-час;Количество электричества
52;{2381362E-D562-4DE7-B1A7-8A52BC22A108};r/s;об/с;revolution per second;оборот в секунду;Частота вращения
53;{2381362E-D562-4DE7-B1A7-8A52BC22A108};r/min;об/мин;revolution per minute;оборот в минуту;Частота вращения
54;{48554A6C-F20D-4925-A963-BEA7FB39E7EC};Da;а.е.м.;dalton;дальтон;Атомная единица массы
55;{D6A66526-B4AD-427A-B994-F005A71194DF};M;миля;nautical mile;морская миля;Скорость
56;{D6A66526-B4AD-427A-B994-F005A71194DF};kn;уз;knot;узел;Скорость
57;{FB290DA0-E8BA-4269-80A6-928FD767F567};a;а;are;ар;Площадь
58;{9D26DFBE-C712-425A-A04F-5B5667B27211};bar;бар;bar;бар;Давление
59;{9D26DFBE-C712-425A-A04F-5B5667B27211};at;ат;atmosphere;атмосфера тех.;Давление
60;{9D26DFBE-C712-425A-A04F-5B5667B27211};mm Hg;мм рт.ст.;Millimeter of mercury column;Миллиметр ртутного столба;Давление
61;{C25A3F07-8F90-4C4E-9755-FE54A0CC2C6A};g/сm^3;г/см^3;grams per cubic centimeter;грамм на кубический сантиметр;Плотность
62;{C25A3F07-8F90-4C4E-9755-FE54A0CC2C6A};g/dm^3;г/дм^3;grams per cubic decimeter;грамм на кубический дециметр;Плотность
63;{D6A66526-B4AD-427A-B994-F005A71194DF};m/h;м/ч;meter per hour;метр в час;Скорость
64;{B7E46D21-98EB-4FDA-BFE3-6630C5140355};Np;Нп;neper;непер;Относительная единица
65;{B7E46D21-98EB-4FDA-BFE3-6630C5140355};B;Б;bel;бел;Относительная единица
66;{028277C4-116A-4355-9B6C-BDF50755E6DE};%;%;percent;процент;Процент
67;{E2C4DE72-1636-403A-A78D-5FBC11148D2A};u;ед;unit;единица;Счет
